
2025-04-15 09:45:05:047 MCU   @[Y] motor cleared
2025-04-15 09:45:05:047 MCU   @[Y] min: -29.51
2025-04-15 09:45:05:048 MCU   @[P] start clearing: -165.00
2025-04-15 09:45:05:048 MCU   @[Z] stopped by sensor L
2025-04-15 09:45:05:049 MCU   @[Z] reset physical position to 0
2025-04-15 09:45:05:073 MCU   @[Z] reference found (SENSOR)
2025-04-15 09:45:05:073 MCU   @[Z] max: 0.00
2025-04-15 09:45:05:074 MCU   @[Y] start moving to max pos: -3.00
2025-04-15 09:45:05:097 MCU   @[Z] start clearing: -50.00
2025-04-15 09:45:05:120 MCU   @[N] start clearing: 69.50
2025-04-15 09:45:05:142 MCU   @[X] start clearing: -22.00
2025-04-15 09:45:05:165 MCU   @[H] start searching reference
2025-04-15 09:45:12:802 MCU   @[H] stopped by sensor L
2025-04-15 09:45:12:802 MCU   @[H] reset physical position to 0
2025-04-15 09:45:13:004 MCU   @[H] reference found (SENSOR)
2025-04-15 09:45:13:004 MCU   @[H] max: 0.00
2025-04-15 09:45:13:028 MCU   @[X] motor cleared
2025-04-15 09:45:13:029 MCU   @[X] min: -32.01
2025-04-15 09:45:13:030 MCU   @[H] start clearing: -49.00
2025-04-15 09:45:13:051 MCU   @[X] start moving to max pos: -3.00
2025-04-15 09:45:14:485 MCU   @[P] motor cleared
2025-04-15 09:45:14:486 MCU   @[P] min: -165.09
2025-04-15 09:45:14:689 MCU   @[Y] motor reached max pos
2025-04-15 09:45:14:690 MCU   @[P] start moving to home: -1.00
2025-04-15 09:45:23:701 MCU   @[X] motor reached max pos
2025-04-15 09:45:24:505 MCU   @[P] motor homed
2025-04-15 09:45:24:506 MCU   @[R] start searching reference
2025-04-15 09:45:24:850 MCU   @[H] motor cleared
2025-04-15 09:45:24:851 MCU   @[H] min: -49.00
2025-04-15 09:45:24:872 MCU   @[H] start moving to home: -24.99
2025-04-15 09:45:29:461 MCU   @[Z] motor cleared
2025-04-15 09:45:29:461 MCU   @[Z] min: -50.01
2025-04-15 09:45:29:663 MCU   @[Z] start moving to home: -33.30
2025-04-15 09:45:29:832 MCU   @[H] motor homed
2025-04-15 09:45:29:832 MCU   @[V] start searching reference
2025-04-15 09:45:30:756 MCU   @[N] motor cleared
2025-04-15 09:45:30:756 MCU   @[N] max: 69.51
2025-04-15 09:45:30:957 MCU   @[N] start moving to home: 13.67
2025-04-15 09:45:33:955 MCU   @[R] stopped by sensor R
2025-04-15 09:45:33:956 MCU   @[R] reset physical position to 0
2025-04-15 09:45:34:158 MCU   @[R] reference found (SENSOR)
2025-04-15 09:45:34:158 MCU   @[R] max: 0.00
2025-04-15 09:45:34:182 MCU   @[R] start clearing: -119.00
2025-04-15 09:45:35:137 MCU   @[V] stopped by sensor L
2025-04-15 09:45:35:137 MCU   @[V] reset physical position to 0
2025-04-15 09:45:35:340 MCU   @[V] reference found (SENSOR)
2025-04-15 09:45:35:341 MCU   @[V] max: 0.00
2025-04-15 09:45:35:365 MCU   @[V] start clearing: -49.00
2025-04-15 09:45:37:329 MCU   @[Z] motor homed
2025-04-15 09:45:44:146 MCU   @[V] motor cleared
2025-04-15 09:45:44:146 MCU   @[V] min: -49.03
2025-04-15 09:45:44:347 MCU   @[V] start moving to home: -22.94
2025-04-15 09:45:49:768 MCU   @[R] motor cleared
2025-04-15 09:45:49:769 MCU   @[R] min: -119.01
2025-04-15 09:45:49:970 MCU   @[R] start moving to home: -60.00
2025-04-15 09:45:50:159 MCU   @[V] motor homed
2025-04-15 09:45:50:160 MCU   @[X] start moving to home: -18.92
2025-04-15 09:45:50:182 MCU   @[Y] start moving to home: -13.69
2025-04-15 09:45:51:499 MCU   @[N] motor homed
2025-04-15 09:45:54:307 MCU   @[Y] motor homed
2025-04-15 09:45:55:913 MCU   @[X] motor homed
2025-04-15 09:45:58:521 MCU   @[R] motor homed
2025-04-15 09:45:58:521 MCU   @set motor P sensors to 'nonstop'
2025-04-15 09:45:58:522 MCU   @set motor R sensors to 'nonstop'
2025-04-15 09:45:58:523 MCU   @robot initialization done (70797ms)
2025-04-15 09:45:58:529 Info  @system actual [32.94,-9.99,-0,39.94,0.01,0.01,79.98,0.01]
2025-04-15 09:45:58:530 Info  @switch LED light to Green
2025-04-15 09:45:59:032 DEBUG @S.SC state (5, 20)
2025-04-15 09:45:59:032 DEBUG @E.SC state (5, 20)
2025-04-15 09:45:59:033 DEBUG @S.VE state (5, 20)
2025-04-15 09:45:59:033 DEBUG @E.VE state (5, 20)
2025-04-15 09:45:59:033 DEBUG @S.MW state (5, 20)
2025-04-15 09:45:59:159 DEBUG @E.MW state (5, 20)
2025-04-15 09:45:59:160 Info  @Done (motion control)

2025-04-15 09:48:01:657 User  @on_emcStartConcurrent_clicked
2025-04-15 09:48:03:971 Info  @Start Concurrent Test (motion control)
2025-04-15 09:48:03:972 Info  @switch LED light to Red
2025-04-15 09:48:03:972 DEBUG @S.SC state (5, 21)
2025-04-15 09:48:03:972 DEBUG @E.SC state (5, 21)
2025-04-15 09:48:03:973 DEBUG @S.VE state (5, 21)
2025-04-15 09:48:03:973 DEBUG @E.VE state (5, 21)
2025-04-15 09:48:03:974 DEBUG @S.MW state (5, 21)
2025-04-15 09:48:04:004 DEBUG @E.MW state (5, 21)
2025-04-15 09:48:04:148 MCU   @[P] start moving to -5.00 (motion control)
2025-04-15 09:48:04:149 MCU   @[Z] start moving to -5.00 (motion control)
2025-04-15 09:48:04:150 MCU   @[X] start moving to -5.00 (motion control)
2025-04-15 09:48:04:151 MCU   @[Y] start moving to -5.00 (motion control)
2025-04-15 09:48:04:151 MCU   @[V] start moving to -5.00 (motion control)
2025-04-15 09:48:04:152 MCU   @[H] start moving to -5.00 (motion control)
2025-04-15 09:48:04:153 MCU   @[N] start moving to 5.00 (motion control)
2025-04-15 09:48:04:153 MCU   @[R] start moving to -5.00 (motion control)
2025-04-15 09:48:04:157 Info  @... 120 min left (motion control)
2025-04-15 09:48:04:452 MCU   @[P] start moving to target position. target=-48924
2025-04-15 09:48:04:598 MCU   @[Z] start moving to target position. target=-440320
2025-04-15 09:48:04:722 MCU   @[X] start moving to target position. target=-293546
2025-04-15 09:48:04:787 MCU   @[P] end of movement. target=-48924 actual=-49650 (726)
2025-04-15 09:48:04:809 MCU   @[P] stopped at position (-5.07) (type: 0) (motion control)
2025-04-15 09:48:04:830 MCU   @[P] start moving to -159.09 (motion control)
2025-04-15 09:48:04:851 MCU   @[Y] start moving to target position. target=-293546
2025-04-15 09:48:04:977 MCU   @[V] start moving to target position. target=170585
2025-04-15 09:48:05:122 MCU   @[H] start moving to target position. target=170585
2025-04-15 09:48:05:250 MCU   @[N] start moving to target position. target=-400290
2025-04-15 09:48:05:374 MCU   @[R] start moving to target position. target=-97848
2025-04-15 09:48:05:520 MCU   @[P] start moving to target position. target=-1556634
